ADS_X
AVL_X
BAS_X
BAYN_X
NEI_X
BMW_X
CBK_X
CON_X
DAI_X
DBK_X
DB1_X
LHA_X
DPW_X
DTE_X
FRE_X
FME_X
HEI_X
HEN2_X
IFX_X
LIN_X
MRK_X
PSM_X
RWE_X
SAP_X
SIE_X
TKA_X
VOW3_X
VNA_X
